modern_name,Date,FirstSlash,SecondSlash,day,month,year,Corrected,latitude,longitude,County,Notes or reference #,
Hartlebury,23/1/1339,3,5,23,1,1339,1339/1/23,52.327826,-2.2508729,Worcestershire,,
Hartlebury,23/1/1340,3,5,23,1,1340,1340/1/23,52.327826,-2.2508729,Worcestershire,,
Hartlebury,23/1/1349,3,5,23,1,1349,1349/1/23,52.327826,-2.2508729,Worcestershire,,
Hartlebury,23/1/1349,3,5,23,1,1349,1349/1/23,52.327826,-2.2508729,Worcestershire,,
Spetchley,23/10/1339,3,6,23,10,1339,1339/10/23,52.175146,-2.1622727,Worcestershire,102,
Upton upon Severn,23/10/1339,3,6,23,10,1339,1339/10/23,52.063126,-2.216566,,224,
Hartlebury,23/11/1339,3,6,23,11,1339,1339/11/23,52.327826,-2.2508729,Worcestershire,,
Hartlebury,23/11/1340,3,6,23,11,1340,1340/11/23,52.327826,-2.2508729,Worcestershire,,
Hartlebury,23/11/1344,3,6,23,11,1344,1344/11/23,52.327826,-2.2508729,Worcestershire,1227,
Hartlebury,23/12/1345,3,6,23,12,1345,1345/12/23,52.327826,-2.2508729,Worcestershire,,
Hartlebury,23/12/1348,3,6,23,12,1348,1348/12/23,52.327826,-2.2508729,Worcestershire,,
Fairford,23/2/1340,3,5,23,2,1340,1340/2/23,51.698548,-1.7843625,Gloucestershire,,
Warwick,23/2/1344,3,5,23,2,1344,1344/2/23,52.282434,-1.5909815,Warwickshire,,
Hartlebury,23/3/1340,3,5,23,3,1340,1340/3/23,52.327826,-2.2508729,Worcestershire,,
Hartlebury,23/4/1339,3,5,23,4,1339,1339/4/23,52.327826,-2.2508729,Worcestershire,,
Hartlebury,23/4/1343,3,5,23,4,1343,1343/4/23,52.327826,-2.2508729,Worcestershire,,
Hartlebury,23/4/1349,3,5,23,4,1349,1349/4/23,52.327826,-2.2508729,Worcestershire,,
Gloucester Deanery,23/5/1340,3,5,23,5,1340,1340/5/23,51.860322,-2.2482616,Gloucestershire,,
Kempsey,23/5/1349,3,5,23,5,1349,1349/5/23,52.139089,-2.2205872,Worcestershire,,
Stoneham,23/6/1339,3,5,23,6,1339,1339/6/23,50.950836,-1.3892337,Hampshire,,
Bristol Deanery,23/6/1340,3,5,23,6,1340,1340/6/23,51.47254,-2.5772934,Gloucestershire,,
Hartlebury,23/6/1349,3,5,23,6,1349,1349/6/23,52.327826,-2.2508729,Worcestershire,,
Henbury,23/7/1346,3,5,23,7,1346,1346/7/23,51.499215,-2.6352549,Gloucestershire,,
Hartlebury,23/7/1349,3,5,23,7,1349,1349/7/23,52.327826,-2.2508729,Worcestershire,,
Blockley,23/9/1346,3,5,23,9,1346,1346/9/23,52.00421,-1.768331,"Worcs (det), locally in Gloucs","p, 390",
Stow on the Wold,23/9/1346,3,5,23,9,1346,1346/9/23,51.930837,-1.722896,Gloucestershire,1073,
Withington,23/9/1348,3,5,23,9,1348,1348/9/23,51.833604,-1.9578672,Gloucestershire,,
Liddington,24/1/1345,3,5,24,1,1345,1345/1/24,51.527561,-1.7130958,Wiltshire,,
Liddington,24/1/1346,3,5,24,1,1346,1346/1/24,51.527561,-1.7130958,Wiltshire,,
Hartlebury,24/10/1339,3,6,24,10,1339,1339/10/24,52.327826,-2.2508729,Worcestershire,,
Westminster,24/10/1342,3,6,24,10,1342,1342/10/24,51.495233,-0.1431191,Middlesex,,
Hartlebury,24/11/1340,3,6,24,11,1340,1340/11/24,52.327826,-2.2508729,Worcestershire,,
Hartlebury,24/11/1344,3,6,24,11,1344,1344/11/24,52.327826,-2.2508729,Worcestershire,,
Hartlebury,24/12/1344,3,6,24,12,1344,1344/12/24,52.327826,-2.2508729,Worcestershire,,
Hartlebury,24/12/1346,3,6,24,12,1346,1346/12/24,52.327826,-2.2508729,Worcestershire,,
Farnham,24/2/1339,3,5,24,2,1339,1339/2/24,51.207042,-0.7989388,Surrey,,
Cirencester,24/2/1340,3,5,24,2,1340,1340/2/24,51.707734,-1.9724556,Gloucestershire,28 Feb? 263,
